Title,Country,Year,Policy Status,Policy Type,Policy Target
Special Measures law for Promoting the Use of New Energy,Japan,1997,In Force ,Regulatory Instruments ,Multiple RE Sources>All
Strategic Energy Plan (2014),Japan,2014 (April),In Force ,Policy Support>Strategic planning ,Multiple RE Sources>All
Subsidy for RD&D for New and Renewable Energy,Japan,1997,Superseded ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion ",Multiple RE Sources>All
Support for Deplyment of New and Renewable Energy,Japan,1997,Superseded ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,Multiple RE Sources>All
Directive for the Costs of Connecting Renewable Energy Facility to the Distribution System for Direct Proposals and Competitive Tenders ,Jordan,2012,In Force ,Regulatory Instruments ,Multiple RE Sources>Power
Directive governing the sale of electrical energy generated from Renewable Energy Systems (Net metering),Jordan,2012,In Force ,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>User charges ",Multiple RE Sources>All
National Energy Efficiency Strategy,Jordan,2005,In Force ,"Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support, Policy Support>Strategic planning, Regulatory Instruments>Auditing ",Multiple RE Sources>All
Reference Pricelist Record for the calculation of Electrical Energy purchase prices from Renewable Energy Sources ,Jordan,2012,In Force ,Economic Instruments>Fiscal/financial incentives ,Multiple RE Sources>Power
Renewable Energy & Energy Efficiency (Law No. 13),Jordan,2010,In Force ,"Policy Support>Strategic planning, Policy Support>Institutional creation, Research, Development and Deployment (RD&D)>Research programme , Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Tax relief ",Multiple RE Sources>All
Green Energy Concept 2013,Kazakhstan,2013,In Force ,"Policy Support>Strategic planning, Policy Support ","Multiple RE Sources, Multiple RE Sources>Power, Wind, Solar"
The Law About Support the Use of Renewable Energy Sources (amended),Kazakhstan,2009 (amended 2013),In Force ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Heating, Multiple RE Sources>Power, Multiple RE Sources>Cooling"
2nd revision of Feed-in tariffs for Renewable Energy,Kenya,2012 (December),In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Multiple RE Sources>Power, Multiple RE Sources"
Energy Act 12 of 2006,Kenya,2006,In Force ,"Research, Development and Deployment (RD&D)>Demonstration project, Economic Instruments>Fiscal/financial incentives>Tax relief, Policy Support, Policy Support>Institutional creation, Research, Development and Deployment (RD&D) ","Multiple RE Sources>Power, Bioenergy>Biofuels for transport, Bioenergy>Biomass for heat, Multiple RE Sources>Heating"
Energy Regulatory Commission established,Kenya,2007 (July),In Force ,"Information and Education>Information provision, Policy Support, Policy Support>Institutional creation, Policy Support>Strategic planning, Regulatory Instruments>Codes and standards, Research, Development and Deployment (RD&D) ",Multiple RE Sources
Least Cost Power Development Plan 2011-2031,Kenya,2011 (March),In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Geothermal, Wind, Hydropower"
The National Energy,Kenya,,Planned ,"Policy Support>Strategic planning, Policy Support ",Multiple RE Sources
National Energy Policy,Kiribati,2009 (March),In Force ,"Policy Support>Strategic planning, Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion ",Multiple RE Sources
"Basic Plan for the Promotion of the Development, Use and Diffusion of New and Renewable Energy ",Korea,2001,In Force ,"Research, Development and Deployment (RD&D), Policy Support, Policy Support>Strategic planning, Economic Instruments>Direct investment ",Multiple RE Sources
Basic Plan for the Rationalization of Energy Use ,Korea,1993\n,In Force ,"Regulatory Instruments>Codes and standards, Policy Support>Strategic planning, Regulatory Instruments ","Multiple RE Sources>All, Bioenergy>Co-firing with fossil fuels"
Clean Development Mechanisms Coordination,Korea,2004,In Force ,Policy Support ,Multiple RE Sources>All
Energy Efficiency & Resources R&D Program,Korea,1988,In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion ",Multiple RE Sources
Energy Korea Show,Korea,1975,In Force ,Information and Education>Information provision ,Multiple RE Sources
Feed-in Tariff for renewable energy,Korea,2001 (Adjusted 2008),Ended ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Wind, Bioenergy>Biomass for power, Hydropower, Ocean>Tidal, Solar>Solar photovoltaic, Multiple RE Sources"
Five-Year Plan for Green Growth,Korea,2009,In Force ,"Policy Support>Strategic planning, Policy Support ","Multiple RE Sources, Multiple RE Sources>All"
"Framework Act on Low Carbon, Green Growth",Korea,2010,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Green New Deal,Korea,2009 (Jan 6th),Ended ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>All"
Import tax reduction for renewable energy products,Korea,2009,Ended ,Economic Instruments>Fiscal/financial incentives>Tax relief ,Multiple RE Sources
National Strategy for Green Growth ,Korea,2009 (July),In Force ,"Policy Support>Strategic planning, Policy Support ","Multiple RE Sources, Multiple RE Sources>All"
New and Renewable Energy Equipment Certification,Korea,2003,In Force ,"Regulatory Instruments>Codes and standards, Regulatory Instruments>Other mandatory requirements ",Multiple RE Sources>Power
New and Renewable Energy Loans ,Korea,1983\n,Ended ,Economic Instruments>Fiscal/financial incentives>Loans ,Multiple RE Sources
NRE mandatory use for public buildings ,Korea,2004\n,In Force ,"Policy Support, Regulatory Instruments>Codes and standards>Building codes and standards ","Solar Thermal, Bioenergy>Biomass for heat, Geothermal>Power, Solar Thermal>Solar heat, Multiple RE Sources, Multiple RE Sources>All"
Package of Measures to Address Climate Change,Korea,2007,Superseded ,"Economic Instruments>Market-based instruments>White certificates, Policy Support>Strategic planning ",Multiple RE Sources>Power
Regional Deployment Program ,Korea,1997,Superseded ,"Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Direct investment>Funds to sub-national governments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ",Multiple RE Sources>All
Renewable Portfolio Agreement (RPA),Korea,2005,Ended ,Voluntary Approaches>Negotiated Agreements (Public-private sector) ,Multiple RE Sources
Renewable Portfolio Standard (RPS),Korea,2012 (last updated 2016),In Force ,"Economic Instruments>Market-based instruments>Green certificates, Economic Instruments>Market-based instruments, Regulatory Instruments>Obligation schemes  ","Multiple RE Sources, Multiple RE Sources>Power"
Ten-Year Energy Technology Development Plan,Korea,1997,Superseded ,"Research, Development and Deployment (RD&D) ",Multiple RE Sources
Innovative Renewable Energy Research Program,Kuwait,2009 (Oct),In Force ,"Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology development ","Multiple RE Sources, Multiple RE Sources>All"
Kuwait Renewable Energy Target,Kuwait,2012,In Force ,Policy Support>Strategic planning ,Multiple RE Sources>All
Climate change financial instrument (CCFI) ,Latvia,2009 (July 18th),In Force ,"Economic Instruments>Direct investment, Research, Development and Deployment (RD&D) ","Multiple RE Sources, Multiple RE Sources>All"
Electricity Market Law ,Latvia,2005 (June 8th),In Force ,Policy Support ,"Multiple RE Sources>Power, Multiple RE Sources, Hydropower, Bioenergy"
Electricity tax exemption,Latvia,2007 (January 1st),In Force ,"Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Taxes ","Multiple RE Sources, Multiple RE Sources>CHP"
Energy Development Guidelines for 2007-2016,Latvia,2006 (August 1st) ,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Guidelines for Use of Renewable Energy 2006-2013,Latvia,2006 (October 13th),In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Law on Energy,Latvia,1998 (October 6th),In Force ,Policy Support ,Multiple RE Sources
National Energy Program,Latvia,1997 (September 2nd),Ended ,Policy Support>Strategic planning ,Multiple RE Sources
National Renewable Energy Action Plan (NREAP),Latvia,2010,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Regulations Regarding Electricity Production and Price Determination Upon Production of Electricity in Cogeneration ,Latvia,2009 (March 18th),In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Multiple RE Sources, Multiple RE Sources>CHP"
Regulations regarding Electricity Production from Renewable Energy Resources ,Latvia,2007 (August 22nd),Superseded ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Multiple RE Sources, Wind, Hydropower, Bioenergy"
Regulations Regarding Electricity Production in Cogeneration ,Latvia,2006 (November 11th),Superseded ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Multiple RE Sources, Multiple RE Sources>CHP"
Regulations Regarding the Production of Electricity Using Renewable Energy Resources and the Procedures for the Determination of the Price (2009) ,Latvia,2009 (March 14th),Superseded ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Multiple RE Sources, Multiple RE Sources>Power"
Regulations Regarding the Production of Electricity Using Renewable Energy Resources and the Procedures for the Determination of the Price (2010) ,Latvia,2010 (April 1st),In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Multiple RE Sources, Multiple RE Sources>Power"
National Energy Efficiency and Renewable Energy Action (NEEREA),Lebanon,2010,In Force ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans ","Multiple RE Sources, Multiple RE Sources>All"
Feed-in Tariffs for Electricity Produced from Renewable Energy Sources (3rd quarter of 2013),Lithuania,2013 (May 14th),Superseded ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,Multiple RE Sources
Feed-in Tariffs for Electricity Produced from Renewable Energy Sources (3rd quarter of 2015),Lithuania,2015 (May 28th),In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Wind, Solar, Bioenergy, Hydropower, Multiple RE Sources>Power"
Feed-in Tariffs for Electricity Produced from Renewable Energy Sources (4th quarter of 2014),Lithuania,2014 (July 28th),Superseded ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Multiple RE Sources, Solar, Wind>Onshore, Bioenergy, Bioenergy>Biomass for power, Hydropower"
Law on Electricity,Lithuania,2000 (last amended 2013),In Force ,Regulatory Instruments ,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power"
Law on Energy,Lithuania,2002 (May 16th),In Force ,"Regulatory Instruments, Regulatory Instruments>Other mandatory requirements, Policy Support>Institutional creation, Policy Support>Strategic planning ",Multiple RE Sources
Law on Energy from Renewable Sources,Lithuania,2011 (last amended 2013),In Force ,"Economic Instruments>Fiscal/financial incentives, Policy Support, Regulatory Instruments>Codes and standards>Building codes and standards, Regulatory Instruments, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power, Multiple RE Sources>Heating, Wind, Solar, Hydropower, Bioenergy, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Bioenergy>Biofuels for transport"
Law on Financial Instruments for Climate Change Management,Lithuania,2009 (last amended 9 May 2013),In Force ,"Economic Instruments>Fiscal/financial incentives, Policy Support, Policy Support>Institutional creation, Economic Instruments>Market-based instruments>GHG emissions trading, Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Information and Education>Information provision ","Multiple RE Sources, Multiple RE Sources>All"
Law on Heat Sector,Lithuania,2003 (last amended 2013)\n,In Force ,,"Multiple RE Sources>CHP, Multiple RE Sources>Heating"
National Energy Independence Strategy,Lithuania,2012 (June 26th),In Force ,Policy Support>Strategic planning ,Multiple RE Sources>All
National Energy Strategy,Lithuania,2007 (Jan 18th),Ended ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>All"
National Energy Strategy 2002,Lithuania,2002,Ended ,Policy Support>Strategic planning ,Multiple RE Sources
National Renewable Action Plan (NREAP),Lithuania,2010,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All"
The promotion rules for the energy production from renewable energy sources,Lithuania,2012 (last amended October 2013),In Force ,"Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ",Multiple RE Sources>All
"Act establishing premium for electricity generated from wind, hydro, solar, biomass and biogas",Luxembourg,2001 (Dec 31st),Ended ,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ","Multiple RE Sources>Heating, Multiple RE Sources>Power, Wind, Hydropower, Bioenergy"
CO2 Reduction Action Plan,Luxembourg,2006,In Force ,"Policy Support>Strategic planning, Policy Support>Institutional creation ","Wind>Onshore, Bioenergy>Biofuels for transport, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Compensation mechanism for renewable electricity,Luxembourg,2010 (last amended 2014),In Force ,"Economic Instruments>Fiscal/financial incentives>User charges, Economic Instruments>Fiscal/financial incentives>Taxes ","Multiple RE Sources>Power, Multiple RE Sources"
Feed-in tariffs for renewable energy and cogeneration (Règlement du 12 février 2008 et du 23 novembre 2012),Luxembourg,2008 (last amended 2013),Superseded ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ","Multiple RE Sources, Bioenergy, Solar, Wind, Hydropower"
Feed-in tariffs for renewable energy and cogeneration (Règlement du 14 october 2005),Luxembourg,2005,Superseded ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Wind, Multiple RE Sources"
Feed-in tariffs for renewable energy and cogeneration (Règlement du 1er août 2014),Luxembourg,2014 (August 1st),In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,Multiple RE Sources>Power
Feed-in tariffs for renewable energy and cogeneration (Règlement du 30 mai 1994),Luxembourg,1994,Superseded ,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Tax relief ","Multiple RE Sources>Power, Bioenergy>Biomass for power, Solar, Wind"
Financial aid programme for energy savings and renewable energy in housing 2008,Luxembourg,2008,Superseded ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Geothermal>Heat, Multiple RE Sources>CHP, Multiple RE Sources>Heating, Solar>Solar photovoltaic, Solar, Solar Thermal, Geothermal, Bioenergy>Biomass for heat"
Financial aid programme for energy savings and renewable energy in housing 2013,Luxembourg,2013 (Jan 1st),In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Multiple RE Sources, Multiple RE Sources>Power, Solar, Solar Thermal, Bioenergy, Multiple RE Sources>Heating, Multiple RE Sources>Renewable heat pumps"
Flexible Depreciation,Luxembourg,1989,In Force ,"Economic Instruments, Economic Instruments>Fiscal/financial incentives>Tax relief ",Multiple RE Sources
Framework Law concerning rational use of energy: Law of 5 August 1993,Luxembourg,1993 (August 5th),In Force ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Research, Development and Deployment (RD&D)>Demonstration project, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ","Multiple RE Sources>Power, Bioenergy, Bioenergy>Biofuels for transport"
Fund for the Protection of the Environment (FPE),Luxembourg,1999,In Force ,Policy Support ,"Multiple RE Sources, Multiple RE Sources>All"
Grants for energy efficiency and renewable energy investments,Luxembourg,2010,In Force ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Regulatory Instruments ","Multiple RE Sources, Multiple RE Sources>CHP"
Investment Grants for SMEs and non-industrial enterprises,Luxembourg,2004,In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Multiple RE Sources, Multiple RE Sources>CHP"
Ministerial Regulation on support for renewable and energy efficiency technologies,Luxembourg,1994,Ended ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ","Multiple RE Sources>CHP, Wind, Solar Thermal, Solar, Bioenergy, Bioenergy>Biomass for power, Bioenergy>Biomass for heat"
National Plan on Sustainable Development,Luxembourg,1999,In Force ,"Economic Instruments, Economic Instruments>Fiscal/financial incentives>Taxes, Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>All"
National Renewable Action Plan (NREAP),Luxembourg,2010,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
National Strategy to Reduce GHG Emissions,Luxembourg,2000,In Force ,"Policy Support, Policy Support>Strategic planning, Economic Instruments>Fiscal/financial incentives>Taxes ","Multiple RE Sources, Multiple RE Sources>All"
Programme d'Actions d'Economies d'Energie dans les Communes (PEEC),Luxembourg,1996,Superseded ,Policy Support ,"Wind, Multiple RE Sources>CHP"
Regulation establishing scheme promoting rational use of energy and development of renewable energy sources,Luxembourg,2001,In Force ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Tax relief ",Multiple RE Sources>Power
Regulation on electricity market organization ,Luxembourg,2007 (last amended 2012),In Force ,"Regulatory Instruments, Policy Support ","Multiple RE Sources, Multiple RE Sources>Power"
Green Technology Financing Scheme (GTFS),Malaysia,2010,In Force ,Economic Instruments>Fiscal/financial incentives>Loans ,Multiple RE Sources>All
Renewable Energy Policy and Action Plan,Malaysia,2010,In Force ,"Research, Development and Deployment (RD&D), Policy Support>Institutional creation, Policy Support>Strategic planning ",Multiple RE Sources>All
"Adopt an appropriate pricing policy for the energy sector (Policy no. 7, Maldives National Energy Policy and Strategy 2010) ",Maldives,2010,In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,Multiple RE Sources>All
"Increase national energy security (Policy no. 4, Maldives National Energy Policy and Strategy 2010) ",Maldives,2010,In Force ,Economic Instruments>Direct investment>Infrastructure investments ,Multiple RE Sources>All
"Promote renewable energy technologies (Policy no. 5, Maldives National Energy Policy and Strategy 2010) ",Maldives,2010,In Force ,"Economic Instruments>Fiscal/financial incentives>Tax relief, Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D)>Research programme >Technology development, Research, Development and Deployment (RD&D)>Research programme , Information and Education>Advice/Aid in Implementation, Information and Education>Information provision ",Multiple RE Sources>All
"Strengthen the management capacity of the energy sector (Policy no. 6, Maldives National Energy Policy and Strategy 2010) ",Maldives,2010,In Force ,"Policy Support>Institutional creation, Policy Support>Strategic planning ",Multiple RE Sources>All
Action Plan for Renewable Energy Promotion in Mali,Mali,2007,In Force ,"Policy Support, Policy Support>Strategic planning ",Multiple RE Sources
Mali tax exemption on renewable energy equipment (Décret n°2014-0816/P-RM),Mali,2014 (Dec 19th),In Force ,Economic Instruments>Fiscal/financial incentives>Tax relief ,Multiple RE Sources>All
Rural Electrification by Solar Energy,Mali,1996,In Force ,"Policy Support, Policy Support>Strategic planning ","Solar>Solar photovoltaic, Solar, Multiple RE Sources"
"Capital grants for PVs, solar thermal and wind turbines in the industrial/commercial sector",Malta,2009,In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Multiple RE Sources, Multiple RE Sources>Heating, Multiple RE Sources>Cooling"
Electricity Production from waste treatment plant,Malta,2011,In Force ,"Research, Development and Deployment (RD&D), Regulatory Instruments ","Multiple RE Sources>CHP, Bioenergy"
Information Campaigns on Energy Effiency and RES,Malta,2004,In Force ,"Policy Support, Information and Education, Information and Education>Information provision, Information and Education>Professional training and qualification ",Multiple RE Sources
Malta Resources Authority Act (MRA),Malta,2000,In Force ,"Policy Support>Institutional creation, Policy Support ",Multiple RE Sources
National Energy Policy ,Malta,2012 (Dec.),In Force ,"Policy Support>Strategic planning, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives, Economic Instruments ","Solar Thermal, Solar>Solar photovoltaic, Multiple RE Sources>Heating, Multiple RE Sources>Power"
National Renewable Action Plan (NREAP),Malta,2010,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power, Multiple RE Sources>CHP"
Planning and Priorities Co-ordination Division,Malta,2001,In Force ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ",Multiple RE Sources
Plug in vehicles,Malta,2012,In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Multiple RE Sources, Multiple RE Sources>Power"
Energy Action Plan 2009,Marshall Islands,2009 (September),In Force ,"Policy Support, Policy Support>Strategic planning, Regulatory Instruments, Economic Instruments, Information and Education ","Multiple RE Sources, Solar, Wind, Solar>Solar photovoltaic"
Marshall Islands National Energy Policy 2002 - 2009,Marshall Islands,2003 (April 17th),Ended ,"Policy Support>Strategic planning, Policy Support, Policy Support>Institutional creation, Information and Education ","Multiple RE Sources, Solar"
National Energy Policy 2009,Marshall Islands,2009 (September),In Force ,"Policy Support, Policy Support>Strategic planning, Economic Instruments>Direct investment, Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>User charges, Information and Education, Information and Education>Professional training and qualification, Regulatory Instruments ","Multiple RE Sources, Solar, Solar>Solar photovoltaic"
Grid code for Small Scale Distributed Generation (SSDG),Mauritius,2010 (Dec 9th),In Force ,"Policy Support, Regulatory Instruments ",Multiple RE Sources>Power
Maurice Ile Durable (MID),Mauritius,2009 (last updated 2013),In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power"
Small Scale Distributed Generation (SSDG) (Feed-in tariff/Net metering scheme),Mauritius,2010 (last amended 2012),In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Wind, Hydropower, Solar>Solar photovoltaic, Solar, Multiple RE Sources>Power"
Accelerated Depreciation for Environmental Investment. (Depreciación acelerada para inversiones que reportan beneficios ambientales),Mexico,2005,In Force ,Economic Instruments>Fiscal/financial incentives>Tax relief ,"Multiple RE Sources>Power, Multiple RE Sources"
Constitutional Reform 2013 ,Mexico,2013 (Dec 21st),In Force ,"Policy Support>Strategic planning, Economic Instruments, Regulatory Instruments, Information and Education ",Multiple RE Sources>All
Electricity Industry Law ,Mexico,2004 (March 12th),In Force ,Economic Instruments>Fiscal/financial incentives>Tax relief ,Multiple RE Sources>Power
Electricity Industry Law (RES grid integration) ,Mexico,2014 (Aug 11th),In Force ,"Regulatory Instruments>Codes and standards, Economic Instruments, Policy Support>Strategic planning, Regulatory Instruments ","Multiple RE Sources>All, Multiple RE Sources>Power"
Energy Sustainability Fund ,Mexico,2008,In Force ,Economic Instruments>Direct investment>RD&D funding ,Multiple RE Sources>All
Energy Sustainability Fund (Fondo de Sustentabilidad Energética) ,Mexico,2008,In Force ,"Research, Development and Deployment (RD&D)>Research programme ","Multiple RE Sources, Multiple RE Sources>All"
Fund for the Energy Transition and Sustainable Electricity Use ,Mexico,2009 (Sept 1st),In Force ,"Economic Instruments>Direct investment, Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme ","Multiple RE Sources, Multiple RE Sources>All"
Fund for the Energy Transition and Sustainable Electricity Use ,Mexico,2008,In Force ,"Research, Development and Deployment (RD&D) ",Multiple RE Sources>All
General Law of Climate Change (Ley General de Cambio Climático) ,Mexico,2012 (Oct 10th),In Force ,Policy Support>Institutional creation ,"Multiple RE Sources, Multiple RE Sources>Power"
Grid interconection contract for renewable energy (Contrato de interconexión para fuente de energía renovable),Mexico,2001,In Force ,Regulatory Instruments ,"Wind, Hydropower, Multiple RE Sources>Power, Solar"
Guidelines establishing and issuing Clean Energy Certificates,Mexico,2015 (Jan 1st),In Force ,Economic Instruments>Market-based instruments>Green certificates ,Multiple RE Sources>Power
Large-scale renewable energy development project (PERGE),Mexico,2013 (May 1st),In Force ,Economic Instruments>Direct investment ,"Multiple RE Sources, Multiple RE Sources>All, Wind"
Methodology to establish service charges for transmission of renewable electricity (Metodología para la determinación de los cargos por servicios de transmisión de energía eléctrica para fuente de energía renovable),Mexico,2003,In Force ,Regulatory Instruments ,"Multiple RE Sources>Power, Multiple RE Sources"
Methodology to value the externalities associated with the Electricity Generation in Mexico ,Mexico,2009,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power"
Mexican Petroleum Law ,Mexico,2014 (August 11th),In Force ,"Economic Instruments>Direct investment, Research, Development and Deployment (RD&D) ",Multiple RE Sources>All
Mexico capacity and power auctions supported by clean energy certificates,Mexico,2016,In Force ,"Economic Instruments>Market-based instruments, Regulatory Instruments ",Multiple RE Sources>Power
National Energy Strategy 2013-2027 ,Mexico,2013,In Force ,Policy Support>Strategic planning ,Multiple RE Sources>Power
National renewable energy inventory ,Mexico,2013 (May 1st),In Force ,Information and Education>Information provision ,"Multiple RE Sources, Multiple RE Sources>All"
Project of Ecological Norm for Wind Farms,Mexico,2005,Unknown ,Policy Support ,Multiple RE Sources
Public Electricity Service Law (Ley del Servicio Público de Energía Eléctrica),Mexico,1975 (last revised 2012),In Force ,"Regulatory Instruments, Regulatory Instruments>Other mandatory requirements ",Multiple RE Sources>Power
Resolution on met-metering,Mexico,2010 (May),In Force ,Regulatory Instruments>Codes and standards ,Multiple RE Sources>Power
"Resolution on transmission charges for renewable energy generators (""Stamp System"") ",Mexico,2003 (last revised 2010),In Force ,Regulatory Instruments>Codes and standards ,Multiple RE Sources>All
Special Program for the use of Renewable Energy ,Mexico,2014 (April 28th),In Force ,Policy Support>Strategic planning ,"Wind, Solar, Multiple RE Sources>Power, Bioenergy, Geothermal"
Special Programme for the Use of Renewable Energy 2008-2012 ,Mexico,2009 (August 7th),Ended ,"Regulatory Instruments>Codes and standards, Information and Education>Information provision, Information and Education>Advice/Aid in Implementation, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans, Policy Support>Strategic planning, Economic Instruments>Direct investment>Infrastructure investments, Regulatory Instruments ",Multiple RE Sources
Teaching Environmental Responsibility Programme (Chiapas),Mexico,2014,In Force ,"Information and Education, Information and Education>Information provision ",Multiple RE Sources
Universal Power Service Fund ,Mexico,2014,In Force ,Economic Instruments>Direct investment ,Multiple RE Sources>All
Wheeling Service Agreement for electricity from renewable energy sources (Convenio para el servicio de Transmisión de energía eléctrica para fuente de energía renovable),Mexico,2004,In Force ,Regulatory Instruments ,Multiple RE Sources>Power
Law on Energy ,Mongolia,2001 (April 15th),Ended ,"Policy Support, Regulatory Instruments ",Multiple RE Sources
National Renewable Energy Programme (2005-2020) ,Mongolia,2005,In Force ,"Policy Support, Policy Support>Strategic planning ",Multiple RE Sources
Renewable Energy Law ,Mongolia,2007 (Jan 11th),In Force ,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support, Policy Support>Institutional creation ",Multiple RE Sources
